Height,Roughness,Segregation,Diversity
5.02E-06,1.50E-06,0.489889141,0.512452973
5.05E-06,1.55E-06,0.48988705,0.512452973
6.03E-06,1.40E-06,0.49847859,0.502990417
5.93E-06,1.60E-06,0.498900245,0.502990417
7.27E-06,1.30E-06,0.506500218,0.495032758
2.38E-06,1.00E-07,0.2000001,0.933333433
2.93E-06,1.00E-07,0.238095338,0.857142957
2.20E-06,1.00E-07,0.276190576,0.838095338
3.61E-06,1.00E-07,0.306666767,0.755555656
3.61E-06,1.00E-07,0.306666767,0.755555656
4.32E-06,1.00E-07,0.379166767,0.6500001
4.35E-06,1.00E-07,0.379166767,0.6500001
4.49E-06,7.16E-07,0.421182366,0.593596159
4.49E-06,7.24E-07,0.421182366,0.593596159
4.68E-06,1.24E-06,0.478229418,0.529027676
5.13E-06,1.42E-06,0.515072232,0.489163049
5.22E-06,1.28E-06,0.515072232,0.489163049
5.47E-06,2.14E-06,0.534836458,0.466936736
5.38E-06,2.09E-06,0.534837349,0.466936736
6.95E-06,1.97E-06,0.545439542,0.455509943
7.07E-06,2.09E-06,0.545524128,0.455509943
8.51E-06,1.82E-06,0.551407731,0.449132481
8.90E-06,1.77E-06,0.552037041,0.449132481
9.24E-06,3.04E-06,0.555026197,0.445942532
2.37E-06,1.00E-07,0.2000001,0.933333433
2.79E-06,1.00E-07,0.238095338,0.857142957
2.18E-06,1.00E-07,0.252381052,0.866666767
3.21E-06,1.00E-07,0.306666767,0.755555656
3.21E-06,1.00E-07,0.306666767,0.755555656
3.54E-06,1.00E-07,0.371212221,0.666666767
3.53E-06,1.00E-07,0.371212221,0.666666767
3.59E-06,1.00E-07,0.376442677,0.650812425
3.61E-06,1.00E-07,0.376442677,0.650812425
3.92E-06,1.00E-07,0.412074258,0.606295978
3.38E-06,7.30E-07,0.47657573,0.539722925
3.39E-06,7.26E-07,0.47657573,0.539722925
3.63E-06,1.23E-06,0.507785157,0.499261009
3.65E-06,1.23E-06,0.507785157,0.499261009
4.22E-06,1.19E-06,0.545181231,0.460577123
4.23E-06,1.17E-06,0.545181231,0.460577123
4.79E-06,1.10E-06,0.565326904,0.437513694
4.80E-06,1.08E-06,0.565326904,0.437513694
5.07E-06,1.02E-06,0.577246778,0.424631529
2.37E-06,1.00E-07,0.2000001,0.933333433
2.81E-06,1.00E-07,0.238095338,0.857142957
2.18E-06,1.00E-07,0.252381052,0.866666767
3.26E-06,1.00E-07,0.306666767,0.755555656
3.26E-06,1.00E-07,0.306666767,0.755555656
3.56E-06,1.00E-07,0.373626474,0.659340759
3.58E-06,1.00E-07,0.373626474,0.659340759
4.04E-06,1.00E-07,0.440150476,0.579749473
4.04E-06,1.00E-07,0.440150476,0.579749473
4.30E-06,1.00E-07,0.461689102,0.550745255
3.80E-06,9.91E-07,0.50587955,0.501670363
3.89E-06,9.12E-07,0.50587955,0.501670363
4.19E-06,1.27E-06,0.544605214,0.460072241
4.27E-06,1.24E-06,0.544605214,0.460072241
4.61E-06,1.17E-06,0.566705307,0.436243851
4.64E-06,1.15E-06,0.566705307,0.436243851
4.94E-06,1.20E-06,0.580222745,0.421641723
4.98E-06,1.17E-06,0.580222745,0.421641723
4.94E-06,1.59E-06,0.590877466,0.410282024
2.48E-06,1.00E-07,0.2000001,0.933333433
3.00E-06,1.00E-07,0.263888989,0.805555656
2.26E-06,1.00E-07,0.3500001,0.738888989
3.54E-06,1.00E-07,0.364762005,0.676190576
3.57E-06,1.00E-07,0.364762005,0.676190576
4.47E-06,3.89E-07,0.41005301,0.605820206
4.51E-06,4.48E-07,0.41005301,0.605820206
4.63E-06,1.28E-06,0.472850779,0.534690899
4.83E-06,1.11E-06,0.472850779,0.534690899
4.88E-06,1.56E-06,0.511313231,0.492323332
6.10E-06,1.63E-06,0.532971526,0.469126212
5.87E-06,1.91E-06,0.532971914,0.469126212
7.77E-06,1.75E-06,0.543899506,0.456978176
8.30E-06,1.62E-06,0.544577522,0.456978176
9.91E-06,1.90E-06,0.551273731,0.450760501
9.94E-06,2.46E-06,0.553077886,0.450760501
1.03E-05,3.55E-06,0.555997639,0.447614928
1.14E-05,3.14E-06,0.559510477,0.447614928
1.30E-05,4.50E-06,0.558238658,0.446032853
2.37E-06,1.00E-07,0.2000001,0.933333433
2.83E-06,1.00E-07,0.238095338,0.857142957
